Fecha,Gasolina Regular,Gasolina Superior,Gas Propano,Diesel
2020-04-01,458420.85,391773.23,345933.61,867592.28
2020-05-01,478771.83,407482.52,362987.37,828743.95
2020-06-01,516933.6,388952.81,402541.02,782327.99
2020-07-01,567052.5,462380.81,423328.22,870354.89
2020-08-01,647375.58,574379.33,483695.9,885200.72
2020-09-01,661665.58,610445.1,439581.36,959013.35
2020-10-01,680362.07,648582.82,459312.45,1064005.3
2020-11-01,652630.16,639856.62,421504.59,1072873.46
2020-12-01,768193.03,760695.45,481068.86,1276290.85
2021-01-01,685942.97,655512.66,485759.13,1220637.86
2021-02-01,669312.88,621712.09,447847.05,1272608.93
2021-03-01,773453.52,692240.49,513966.39,1417379.54
2021-04-01,688389.03,610310.75,466275.27,1268491.3
2021-05-01,707336.38,643076.84,475018.36,1188222.54
2021-06-01,692598.71,637332.81,475462.79,1128077.11
2021-07-01,740193.13,665472.94,500478.6,1197398.4
2021-08-01,668221.54,636824.61,492629.81,1104625.93
2021-09-01,670418.8,605257.76,493058.47,1102655.34
2021-10-01,718676.32,675821.54,497279.7,1166983.39
2021-11-01,708246.27,641916.4,480432.29,1223817.11
2021-12-01,821882.15,768102.83,531775.93,1380064.62
2022-01-01,683031.84,621512.78,513015.93,1281083.25
2022-02-01,661521.58,592106.14,519921.04,1267195.1
2022-03-01,701819.65,598038.47,483657.43,1335367.84
2022-04-01,812059.06,569199.43,493178.4,1288232.7
2022-05-01,791824.98,483991.63,515616.02,1109576.77
2022-06-01,781009.47,507260.42,513914.27,1102689.46
2022-07-01,788841.46,554496.9,513619.25,1125984.15
2022-08-01,784468.32,581844.42,541273.94,1107348.96
2022-09-01,760396.15,570632.2,479529.68,1202883.03
2022-10-01,768784.36,573943.48,545823.45,979243.31
2022-11-01,771173.12,572163.23,528393.77,1165294.16
2022-12-01,865851.44,635953.46,556737.22,1241281.79
2023-01-01,804524.73,599501.29,574148.0,1285932.51
2023-02-01,737345.64,544144.0,497273.19,1226884.63
2023-04-01,798128.36,586642.2,513919.89,1247899.39
2023-05-01,866826.79,646221.2,561767.17,1346554.12
2023-06-01,782745.17,616290.21,532138.9,1159045.92
2023-07-01,825219.05,642098.16,521833.56,1178454.37
2023-08-01,851754.02,632333.4,543825.64,1222453.19
2023-09-01,799852.73,597670.26,517699.48,1103622.25
2023-10-01,728741.16,531542.58,495261.14,998113.39
2023-11-01,807947.98,632180.03,530542.42,1248223.75
2023-12-01,880233.12,691389.62,541263.18,1334692.15
2024-01-01,830708.13,658083.66,548124.45,1359012.49
2024-02-01,818740.16,654059.6,526897.85,1340174.42
2024-03-01,870771.7,671997.05,523990.91,1393324.52
2024-04-01,847353.15,633520.57,531880.19,1428143.44
2024-05-01,894533.14,692427.94,536754.38,1401052.37
